9. TRIFD,10. FACILITY NAME,12. FACILITY CITY,13. FACILITY COUNTY,14. FACILITY STATE,15. FACILITY ZIP CODE,LATITUDE,LONGITUDE,81. CHEMICAL NAME,84. CLASSIFICATION,85. UNIT OF MEASURE,86. HAZARDOUS AIR POLLUTANT - HAPS,87. CARCINOGEN,88. PFAS_IND,89. METAL IND,118. TOTAL AIR EMISSIONS
01721NYCLPMEGUN,NYACOL NANOTECHNOLOGIES INC,ASHLAND,MIDDLESEX,MA,1721,42.25963,-71.472741,Nitric acid,TRI,Pounds,NO,NO,NO,NO,10
01013HRCLS1111G,SOLENIS LLC,CHICOPEE,HAMPDEN,MA,1013,42.181944,-72.609167,"1,3-Dichloro-2-propanol",TRI,Pounds,NO,NO,NO,NO,
01013HRCLS1111G,SOLENIS LLC,CHICOPEE,HAMPDEN,MA,1013,42.181944,-72.609167,Formic acid,TRI,Pounds,NO,NO,NO,NO,
01527LWCTT86PRO,LEWCOTT CORP D/B/A BARRDAY COMPOSITE SOLUTIONS,MILLBURY,WORCESTER,MA,1527,42.18551,-71.74374,Toluene,TRI,Pounds,YES,NO,NO,NO,494
01527LWCTT86PRO,LEWCOTT CORP D/B/A BARRDAY COMPOSITE SOLUTIONS,MILLBURY,WORCESTER,MA,1527,42.18551,-71.74374,Methanol,TRI,Pounds,YES,NO,NO,NO,3824
01527LWCTT86PRO,LEWCOTT CORP D/B/A BARRDAY COMPOSITE SOLUTIONS,MILLBURY,WORCESTER,MA,1527,42.18551,-71.74374,Formaldehyde,TRI,Pounds,YES,YES,NO,NO,11
01527LWCTT86PRO,LEWCOTT CORP D/B/A BARRDAY COMPOSITE SOLUTIONS,MILLBURY,WORCESTER,MA,1527,42.18551,-71.74374,Phenol,TRI,Pounds,YES,NO,NO,NO,180
01534RVRDL130RI,RIVERDALE MILLS CORP,NORTHBRIDGE,WORCESTER,MA,1534,42.140014,-71.641282,Zinc compounds,TRI,Pounds,NO,NO,NO,YES,60.12
01887WKFLD900SA,BENEVENTO SAND & STONE CORP,WILMINGTON,MIDDLESEX,MA,1887,42.582955,-71.130794,Polycyclic aromatic compounds,PBT,Pounds,YES,YES,NO,NO,0.3
01887WKFLD900SA,BENEVENTO SAND & STONE CORP,WILMINGTON,MIDDLESEX,MA,1887,42.582955,-71.130794,Lead compounds,PBT,Pounds,YES,NO,NO,YES,0.03
01887WKFLD900SA,BENEVENTO SAND & STONE CORP,WILMINGTON,MIDDLESEX,MA,1887,42.582955,-71.130794,"Benzo[g,h,i]perylene",PBT,Pounds,YES,NO,NO,NO,0.03
0195WSTRMC7MULL,STREM CHEMICALS INC.,NEWBURYPORT,ESSEX,MA,1950,42.80071,-70.88521,n-Hexane,TRI,Pounds,YES,NO,NO,NO,1060
02129BSTNS500FR,BOSTON SAND & GRAVEL - CHARLESTOWN PLANT & GARAGE,CHARLESTOWN,SUFFOLK,MA,2129,42.370971,-71.065717,Lead,PBT,Pounds,NO,YES,NO,YES,0
02129BSTNS500FR,BOSTON SAND & GRAVEL - CHARLESTOWN PLANT & GARAGE,CHARLESTOWN,SUFFOLK,MA,2129,42.370971,-71.065717,Nitrate compounds (water dissociable; reportable only when in aqueous solution),TRI,Pounds,NO,NO,NO,NO,0
02150CHLSS11BRO,CHELSEA SANDWICH LLC,CHELSEA,SUFFOLK,MA,2150,42.38695,-71.04531,"Benzo[g,h,i]perylene",PBT,Pounds,YES,NO,NO,NO,0.0000405
02150CHLSS11BRO,CHELSEA SANDWICH LLC,CHELSEA,SUFFOLK,MA,2150,42.38695,-71.04531,Lead compounds,PBT,Pounds,YES,NO,NO,YES,0.000565
0183WDWRDS2CREE,EDWARDS VACUUM,HAVERHILL,ESSEX,MA,1832,42.788315,-71.125093,Nickel,TRI,Pounds,YES,YES,NO,YES,21
0183WDWRDS2CREE,EDWARDS VACUUM,HAVERHILL,ESSEX,MA,1832,42.788315,-71.125093,Lead,PBT,Pounds,NO,YES,NO,YES,0.000166
0183WDWRDS2CREE,EDWARDS VACUUM,HAVERHILL,ESSEX,MA,1832,42.788315,-71.125093,Chromium,TRI,Pounds,YES,NO,NO,YES,46
01845PHRMC70FLA,VERANOVA L.P.,NORTH ANDOVER,ESSEX,MA,1845,42.6562,-71.10869,Dichloromethane,TRI,Pounds,YES,YES,NO,NO,24.4
01845PHRMC70FLA,VERANOVA L.P.,NORTH ANDOVER,ESSEX,MA,1845,42.6562,-71.10869,Methyl isobutyl ketone,TRI,Pounds,YES,YES,NO,NO,66.28
01930CBFSK18KON,CB FISK INC,GLOUCESTER,ESSEX,MA,1930,42.59373,-70.72466,Lead,PBT,Pounds,NO,YES,NO,YES,0.006
0196WWNCHS245LB,WINCHESTER INTERCONNECT RF CORP,PEABODY,ESSEX,MA,1960,42.51598,-70.97228,Copper,TRI,Pounds,NO,NO,NO,YES,17
0272WMRCND88CUR,WHIRLPOOL CORP,FALL RIVER,BRISTOL,MA,2720,41.74239,-71.11662,Chromium,TRI,Pounds,YES,NO,NO,YES,0
02763CHCNC3LARS,CHECON LLC,NORTH ATTLEBORO,BRISTOL,MA,2763,41.98286,-71.29731,Copper,TRI,Pounds,NO,NO,NO,YES,174
02763CHCNC3LARS,CHECON LLC,NORTH ATTLEBORO,BRISTOL,MA,2763,41.98286,-71.29731,Cadmium compounds,TRI,Pounds,YES,YES,NO,YES,7.96
02763CHCNC3LARS,CHECON LLC,NORTH ATTLEBORO,BRISTOL,MA,2763,41.98286,-71.29731,Nitrate compounds (water dissociable; reportable only when in aqueous solution),TRI,Pounds,NO,NO,NO,NO,0
02763CHCNC3LARS,CHECON LLC,NORTH ATTLEBORO,BRISTOL,MA,2763,41.98286,-71.29731,Silver compounds,TRI,Pounds,NO,NO,NO,YES,56.58
02763CHCNC3LARS,CHECON LLC,NORTH ATTLEBORO,BRISTOL,MA,2763,41.98286,-71.29731,Ammonia,TRI,Pounds,NO,NO,NO,NO,
01752SHPLY455FO,DUPONT ELECTRONIC MATERIALS INTERNATIONAL LLC,MARLBOROUGH,MIDDLESEX,MA,1752,42.33064,-71.58786,N-Methyl-2-pyrrolidone,TRI,Pounds,NO,NO,NO,NO,53
01752SHPLY455FO,DUPONT ELECTRONIC MATERIALS INTERNATIONAL LLC,MARLBOROUGH,MIDDLESEX,MA,1752,42.33064,-71.58786,Formaldehyde,TRI,Pounds,YES,YES,NO,NO,5
01752SHPLY455FO,DUPONT ELECTRONIC MATERIALS INTERNATIONAL LLC,MARLBOROUGH,MIDDLESEX,MA,1752,42.33064,-71.58786,Copper compounds,TRI,Pounds,NO,NO,NO,YES,1
0175WSRTRS45DNA,SARTORIUS STEDIM 450 DLB,MARLBOROUGH,MIDDLESEX,MA,1752,42.358219,-71.607557,N-Methyl-2-pyrrolidone,TRI,Pounds,NO,NO,NO,NO,1.1
01038LSCHT59DWI,TURF CARE SUPPLY-HATFIELD PLANT,HATFIELD,HAMPSHIRE,MA,1038,42.368349,-72.632292,Manganese compounds,TRI,Pounds,YES,NO,NO,YES,3
01038LSCHT59DWI,TURF CARE SUPPLY-HATFIELD PLANT,HATFIELD,HAMPSHIRE,MA,1038,42.368349,-72.632292,N-Methyl-2-pyrrolidone,TRI,Pounds,NO,NO,NO,NO,23
01038LSCHT59DWI,TURF CARE SUPPLY-HATFIELD PLANT,HATFIELD,HAMPSHIRE,MA,1038,42.368349,-72.632292,Lead compounds,PBT,Pounds,YES,NO,NO,YES,0.05
01038LSCHT59DWI,TURF CARE SUPPLY-HATFIELD PLANT,HATFIELD,HAMPSHIRE,MA,1038,42.368349,-72.632292,"2,4-D",TRI,Pounds,YES,YES,NO,NO,3
01260MDSPCWILLO,ONYX SPECIALTY PAPERS INC. - WILLOW MILL,SOUTH LEE,BERKSHIRE,MA,1260,42.274705,-73.286202,Formic acid,TRI,Pounds,NO,NO,NO,NO,782
01260MDSPCWILLO,ONYX SPECIALTY PAPERS INC. - WILLOW MILL,SOUTH LEE,BERKSHIRE,MA,1260,42.274705,-73.286202,Formaldehyde,TRI,Pounds,YES,YES,NO,NO,24347
01472HLLNGTOWNS,HOLLINGSWORTH & VOSE CO WEST GROTON,GROTON,MIDDLESEX,MA,1450,42.61366,-71.63378,Zinc compounds,TRI,Pounds,NO,NO,NO,YES,0
01472HLLNGTOWNS,HOLLINGSWORTH & VOSE CO WEST GROTON,GROTON,MIDDLESEX,MA,1450,42.61366,-71.63378,Barium compounds (except for barium sulfate (CAS No. 7727-43-7)),TRI,Pounds,NO,NO,NO,YES,0
01472HLLNGTOWNS,HOLLINGSWORTH & VOSE CO WEST GROTON,GROTON,MIDDLESEX,MA,1450,42.61366,-71.63378,Ammonia,TRI,Pounds,NO,NO,NO,NO,2105
01615NRTNC1NEWB,SAINT-GOBAIN ABRASIVES & SAINT -GOBAIN CERAMICS & PLASTICS,WORCESTER,WORCESTER,MA,1606,42.3048,-71.8015,Ethylene glycol,TRI,Pounds,YES,NO,NO,NO,2139
02150CHLSS11BRO,CHELSEA SANDWICH LLC,CHELSEA,SUFFOLK,MA,2150,42.38695,-71.04531,Polycyclic aromatic compounds,PBT,Pounds,YES,YES,NO,NO,2.26
02150CHLSS11BRO,CHELSEA SANDWICH LLC,CHELSEA,SUFFOLK,MA,2150,42.38695,-71.04531,Naphthalene,TRI,Pounds,YES,YES,NO,NO,57.21
02150CHLSS11BRO,CHELSEA SANDWICH LLC,CHELSEA,SUFFOLK,MA,2150,42.38695,-71.04531,"1,2,4-Trimethylbenzene",TRI,Pounds,NO,NO,NO,NO,683.07
0192WTRNSN1ELEC,TRANSENE CO INC.,DANVERS,ESSEX,MA,1923,42.57485,-70.97315,Nitric acid,TRI,Pounds,NO,NO,NO,NO,10
0192WTRNSN1ELEC,TRANSENE CO INC.,DANVERS,ESSEX,MA,1923,42.57485,-70.97315,Hydrogen fluoride,TRI,Pounds,YES,NO,NO,NO,10
02081CLLHN18IND,TILLEY DISTRIBUTION INC.,WALPOLE,NORFOLK,MA,2081,42.11921,-71.26968,Certain glycol ethers,TRI,Pounds,YES,NO,NO,NO,3
01570WBCCHRT197,WEBCO CHEMICAL CORP,DUDLEY,WORCESTER,MA,1571,42.026482,-71.941879,Nonylphenol Ethoxylates,TRI,Pounds,NO,NO,NO,NO,
01570WBCCHRT197,WEBCO CHEMICAL CORP,DUDLEY,WORCESTER,MA,1571,42.026482,-71.941879,Nitric acid,TRI,Pounds,NO,NO,NO,NO,
01615NRTNC1NEWB,SAINT-GOBAIN ABRASIVES & SAINT -GOBAIN CERAMICS & PLASTICS,WORCESTER,WORCESTER,MA,1606,42.3048,-71.8015,Lithium carbonate,TRI,Pounds,NO,NO,NO,YES,2
01615NRTNC1NEWB,SAINT-GOBAIN ABRASIVES & SAINT -GOBAIN CERAMICS & PLASTICS,WORCESTER,WORCESTER,MA,1606,42.3048,-71.8015,Lead compounds,PBT,Pounds,YES,NO,NO,YES,6
01615NRTNC1NEWB,SAINT-GOBAIN ABRASIVES & SAINT -GOBAIN CERAMICS & PLASTICS,WORCESTER,WORCESTER,MA,1606,42.3048,-71.8015,Ammonia,TRI,Pounds,NO,NO,NO,NO,5916
01615NRTNC1NEWB,SAINT-GOBAIN ABRASIVES & SAINT -GOBAIN CERAMICS & PLASTICS,WORCESTER,WORCESTER,MA,1606,42.3048,-71.8015,Phenol,TRI,Pounds,YES,NO,NO,NO,3641
01810CLFRN150DA,ICP CONSTRUCTION,ANDOVER,ESSEX,MA,1810,42.62351,-71.18146,Zinc compounds,TRI,Pounds,NO,NO,NO,YES,
