GEOGRAPHIC,GEOID,SPLIT_FOR_,MUNICIPALI,TOTAL_POP,NONHISPWHI,PCT_MINORI,TOTALHH,LIMENGHH,LIMENGHHPC,BG_MHHI,BG_MHHI_PC,BG_MHHI_IS,MUNI_MHHI,MUNIMHHI_P,MEDIANHHI,LIMITEDENG,MINORITY_P,EJ,EJ_CRITERI,EJ_CRITE_1,EJ_CRIT_DE,Shape_Leng,Shape_Area
"Block Group 3, Census Tract 1008, Suffolk County, Massachusetts",250251008003,N,Boston,924.000000000000000,559.000000000000000,39.502164499999999,549.000000000000000,0,0.000000000000000,98304.000000000000000,116.494636540000002,0,76298.000000000000000,90.416542050000004, , ,M,Yes,M,1,Minority,1508.137767700000040,136790.581796999991639
"Block Group 1, Census Tract 1009, Suffolk County, Massachusetts",250251009001,N,Boston,730.000000000000000,247.000000000000000,66.164383560000005,300.000000000000000,0,0.000000000000000,77500.000000000000000,91.840965269999998,0,76298.000000000000000,90.416542050000004, , ,M,Yes,M,1,Minority,1794.729903160000049,166353.760830000013812
"Block Group 4, Census Tract 1008, Suffolk County, Massachusetts",250251008004,N,Boston,1033.000000000000000,705.000000000000000,31.752178120000000,667.000000000000000,50,7.496252060000000,79554.000000000000000,94.275047299999997,0,76298.000000000000000,90.416542050000004, , ,M,Yes,M,1,Minority,5103.115279419999752,931825.491001000045799
"Block Group 5, Census Tract 1008, Suffolk County, Massachusetts",250251008005,N,Boston,907.000000000000000,464.000000000000000,48.842337379999996,516.000000000000000,18,3.488372090000000,70862.000000000000000,83.974639890000006,0,76298.000000000000000,90.416542050000004, , ,M,Yes,M,1,Minority,2648.916734550000001,401098.244087999977637
"Block Group 5, Census Tract 1204, Suffolk County, Massachusetts",250251204005,N,Boston,1551.000000000000000,1067.000000000000000,31.205673760000000,858.000000000000000,51,5.944056030000000,87333.000000000000000,103.493515009999996,0,76298.000000000000000,90.416542050000004, , ,M,Yes,M,1,Minority,2377.058049610000126,251174.890519000007771
"Block Group 1, Census Tract 1205, Suffolk County, Massachusetts",250251205001,N,Boston,923.000000000000000,307.000000000000000,66.738894909999999,379.000000000000000,63,16.622692109999999,81583.000000000000000,96.679504390000005,0,76298.000000000000000,90.416542050000004, , ,M,Yes,M,1,Minority,1831.692745090000017,96799.363586199993733
"Block Group 2, Census Tract 1205, Suffolk County, Massachusetts",250251205002,N,Boston,758.000000000000000,351.000000000000000,53.693931399999997,481.000000000000000,223,46.361747739999998,212813.000000000000000,252.192932130000003,0,76298.000000000000000,90.416542050000004, ,E,M,Yes,ME,2,Minority and English isolation,1186.779784650000011,63630.540713399997912
"Block Group 2, Census Tract 1207, Suffolk County, Massachusetts",250251207002,N,Boston,1139.000000000000000,740.000000000000000,35.030728709999998,622.000000000000000,19,3.054662470000000,104000.000000000000000,123.244651790000006,0,76298.000000000000000,90.416542050000004, , ,M,Yes,M,1,Minority,1146.624690209999926,82400.588697900006082
"Block Group 4, Census Tract 1303, Suffolk County, Massachusetts",250251303004,N,Boston,1025.000000000000000,645.000000000000000,37.073170730000001,365.000000000000000,0,0.000000000000000,88967.000000000000000,105.429878230000000,0,76298.000000000000000,90.416542050000004, , ,M,Yes,M,1,Minority,1981.087598580000076,240597.650033999991138
"Block Group 3, Census Tract 1403, Suffolk County, Massachusetts",250251403003,N,Boston,1478.000000000000000,243.000000000000000,83.558863329999994,825.000000000000000,86,10.424242019999999,60192.000000000000000,71.330215449999997,0,76298.000000000000000,90.416542050000004, , ,M,Yes,M,1,Minority,3088.461951880000015,418633.606480000016745
