GEOGRAPHIC,GEOID,SPLIT_FOR_,MUNICIPALI,TOTAL_POP,NONHISPWHI,PCT_MINORI,TOTALHH,LIMENGHH,LIMENGHHPC,BG_MHHI,BG_MHHI_PC,BG_MHHI_IS,MUNI_MHHI,MUNIMHHI_P,MEDIANHHI,LIMITEDENG,MINORITY_P,EJ,EJ_CRITERI,EJ_CRITE_1,EJ_CRIT_DE,SHAPE_AREA,SHAPE_LEN
"Block Group 1, Census Tract 3121, Middlesex County, Massachusetts",250173121001,N,Lowell,1185.000000000000000,410.000000000000000,65.400843879999996,521.000000000000000,66,12.667945860000000,46094.000000000000000,54.623451230000001,0,62196.000000000000000,73.705039979999995,I, ,M,Yes,MI,2,Minority and income,238766.523803999996744,2999.177628479999839
"Block Group 3, Census Tract 3121, Middlesex County, Massachusetts",250173121003,N,Lowell,1116.000000000000000,394.000000000000000,64.695340500000000,385.000000000000000,57,14.805194849999999,73341.000000000000000,86.912368770000000,0,62196.000000000000000,73.705039979999995, , ,M,Yes,M,1,Minority,344408.584888999990653,3200.796431020000000
"Block Group 3, Census Tract 3396, Middlesex County, Massachusetts",250173396003,N,Medford,1000.000000000000000,686.000000000000000,31.399999999999999,369.000000000000000,0,0.000000000000000,101220.000000000000000,119.950225829999994,0,101168.000000000000000,119.888603209999999, , ,M,Yes,M,1,Minority,133446.111188000009861,2203.995506010000099
"Block Group 6, Census Tract 3396, Middlesex County, Massachusetts",250173396006,N,Medford,978.000000000000000,595.000000000000000,39.161554189999997,290.000000000000000,0,0.000000000000000,106154.000000000000000,125.797241209999996,0,101168.000000000000000,119.888603209999999, , ,M,Yes,M,1,Minority,93921.221567500004312,1479.872241640000084
"Block Group 3, Census Tract 3397, Middlesex County, Massachusetts",250173397003,N,Medford,753.000000000000000,527.000000000000000,30.013280210000001,495.000000000000000,0,0.000000000000000,58450.000000000000000,69.265861509999993,0,101168.000000000000000,119.888603209999999, , ,M,Yes,M,1,Minority,121668.553547999996226,1454.896282509999992
"Block Group 3, Census Tract 3398.02, Middlesex County, Massachusetts",250173398023,N,Medford,761.000000000000000,494.000000000000000,35.085413930000001,189.000000000000000,0,0.000000000000000,135469.000000000000000,160.536819460000004,0,101168.000000000000000,119.888603209999999, , ,M,Yes,M,1,Minority,126279.556849999993574,1440.344138500000099
"Block Group 2, Census Tract 3398.04, Middlesex County, Massachusetts",250173398042,N,Medford,535.000000000000000,287.000000000000000,46.355140190000000,269.000000000000000,0,0.000000000000000,143109.000000000000000,169.590560909999994,0,101168.000000000000000,119.888603209999999, , ,M,Yes,M,1,Minority,121210.416280999997980,1596.877703070000052
"Block Group 1, Census Tract 3399, Middlesex County, Massachusetts",250173399001,N,Medford,1577.000000000000000,1011.000000000000000,35.890932149999998,677.000000000000000,45,6.646971700000000,91435.000000000000000,108.354568479999998,0,101168.000000000000000,119.888603209999999, , ,M,Yes,M,1,Minority,262073.435236999997869,2172.392098289999922
"Block Group 2, Census Tract 3399, Middlesex County, Massachusetts",250173399002,N,Medford,943.000000000000000,583.000000000000000,38.176033930000003,306.000000000000000,20,6.535947800000000,90417.000000000000000,107.148193359999993,0,101168.000000000000000,119.888603209999999, , ,M,Yes,M,1,Minority,188545.655528000002960,1788.309898790000034
"Block Group 1, Census Tract 3397, Middlesex County, Massachusetts",250173397001,N,Medford,654.000000000000000,434.000000000000000,33.639143730000001,316.000000000000000,31,9.810126300000000,77097.000000000000000,91.363395690000004,0,101168.000000000000000,119.888603209999999, , ,M,Yes,M,1,Minority,738397.260557999950834,6063.861011320000216
